idx,kind,type,start_x,start_y,end_x,end_y,length_m
0,line,FeatureLine,10.153,3.2,10.171,5.28,2.080077883157263
1,line,FeatureLine,-0.16,-0.83,0.8,-0.834,0.9600083332971647
2,line,FeatureLine,10.27,0.325,10.327,0.467,0.15301307133705946
3,line,FeatureLine,-1.593,-4.466,-1.29,-4.469,0.303014851121195
4,line,FeatureLine,-4.0,-3.853,-3.847,-3.886,0.156518369528947
5,line,FeatureLine,6.72,-4.562,8.0,-4.568,1.2800140624227534
6,line,FeatureLine,1.12,-0.836,6.72,-0.841,5.600002232142412
7,line,FeatureLine,10.346,1.44,10.334,2.24,0.8000899949380698
8,line,FeatureLine,-4.8,-3.49,-3.52,-3.506,1.280099996094055
9,line,FeatureLine,1.058,-1.402,0.973,-1.285,0.1446167348545804
10,line,FeatureLine,-2.09,-2.01,-1.918,-1.975,0.1755249270046849
11,line,FeatureLine,10.147,-1.12,10.147,-0.48,0.6400000000000001
12,line,FeatureLine,2.459,-4.523,4.147,-4.542,1.6881069278928988
13,line,FeatureLine,-3.04,-0.829,-2.08,-0.834,0.9600130207450314
14,line,FeatureLine,10.314,0.48,10.336,1.121,0.6413774239868442
15,line,FeatureLine,10.254,4.801,10.251,5.916,1.1150040358671356
16,line,FeatureLine,-22.895,1.796,-22.892,3.039,1.2430036202682597
17,line,FeatureLine,-22.841,0.644,-22.857,1.435,0.7911618039314082
18,line,FeatureLine,-0.949,-4.355,-0.8,-4.339,0.14985659811966898
19,line,FeatureLine,-11.975,-0.32,-11.974,-0.16,0.16000312496948302
20,line,FeatureLine,8.48,-4.199,8.96,-4.198,0.4800010416655368
21,line,FeatureLine,-9.453,3.201,-9.471,4.625,1.4241137595009747
22,line,FeatureLine,10.259,-0.32,10.261,-0.16,0.1600124995117569
23,line,FeatureLine,10.167,5.44,10.164,6.559,1.1190040214404948
24,line,FeatureLine,10.353,1.28,10.359,1.441,0.1611117624507907
25,line,FeatureLine,-5.598,-4.372,-5.12,-4.378,0.47803765542057436
26,line,FeatureLine,10.344,-2.08,10.346,-1.6,0.4800041666485823
27,line,FeatureLine,-11.131,0.788,-11.192,0.961,0.18343936327844132
28,line,FeatureLine,-2.083,-0.826,-1.925,-0.845,0.15913830462839562
29,line,FeatureLine,3.665,2.453,3.657,2.561,0.10829589096544716
30,line,FeatureLine,-4.8,-0.829,-3.04,-0.826,1.7600025568163244
31,line,FeatureLine,10.149,2.72,10.151,2.88,0.1600124995117566
32,line,FeatureLine,0.001,-4.537,0.798,-4.538,0.7970006273523252
33,line,FeatureLine,6.88,-4.229,7.84,-4.224,0.9600130207450314
34,line,FeatureLine,-9.905,-1.821,-9.441,-1.964,0.4855357865286541
35,line,FeatureLine,3.853,-2.005,3.976,-2.066,0.13729530217745958
36,line,FeatureLine,5.283,-4.52,5.433,-4.519,0.1500033332962966
37,line,FeatureLine,0.799,2.568,0.94,2.709,0.19940411229460633
38,line,FeatureLine,-6.873,-4.304,-6.735,-4.171,0.19165855055279943
39,line,FeatureLine,-12.449,0.794,-12.327,0.747,0.1307402003975823
40,line,FeatureLine,-0.002,-4.4,0.311,-4.389,0.3131932310890515
41,line,FeatureLine,6.084,-4.248,6.56,-4.219,0.4768825851297151
42,line,FeatureLine,-6.72,-4.199,-4.96,-4.203,1.7600045454486757
43,line,FeatureLine,-10.598,-1.757,-10.601,-1.602,0.15502902953963152
44,line,FeatureLine,-2.152,2.561,-2.145,2.717,0.15615697230671466
45,line,FeatureLine,10.153,-3.52,10.155,-2.4,1.1200017857128624
46,line,FeatureLine,-7.679,-4.517,-7.372,-4.529,0.3072344381738483
47,line,FeatureLine,1.133,-4.541,1.43,-4.556,0.2973785466371102
49,line,FeatureLine,3.88,2.563,3.872,2.719,0.15620499351813277
50,line,FeatureLine,-9.455,2.883,-9.473,3.037,0.15504837954651443
51,line,FeatureLine,-0.797,-4.499,-0.487,-4.581,0.32066181562512264
52,line,FeatureLine,-1.28,-1.37,-1.12,-1.365,0.16007810593582114
53,line,FeatureLine,-12.573,2.24,-12.613,2.403,0.16783622970026427
54,line,FeatureLine,-3.359,-3.585,-3.2,-3.534,0.16697904060090882
55,line,FeatureLine,-9.757,1.609,-8.955,1.519,0.8070340761083137
56,line,FeatureLine,-12.467,1.292,-12.596,1.435,0.19258764238652462
57,line,FeatureLine,4.32,-4.38,4.476,-4.373,0.1561569723067142
58,line,FeatureLine,-0.307,-4.322,-0.184,-4.375,0.13393281898026335
59,line,FeatureLine,-10.22,-0.533,-9.919,-0.571,0.30338918899657596
60,line,FeatureLine,9.09,-4.477,9.081,-4.317,0.16025292509030858
61,line,FeatureLine,-12.179,0.36,-12.263,0.489,0.1539382993280098
62,line,FeatureLine,-9.291,4.8,-9.305,4.959,0.15961516218705515
63,line,FeatureLine,5.607,-4.513,5.758,-4.552,0.15595512174981596
64,line,FeatureLine,-4.804,-1.33,-4.64,-1.377,0.170601875722397
65,line,FeatureLine,10.256,4.0,10.257,4.16,0.16000312496948316
66,line,FeatureLine,-4.64,-1.366,-4.162,-1.359,0.4780512524824088
67,line,FeatureLine,-1.92,-0.835,-1.12,-0.846,0.8000756214258747
68,line,FeatureLine,9.12,-4.234,9.601,-4.242,0.48106652346635137
69,line,FeatureLine,-9.006,0.96,-8.996,1.119,0.15931415505221125
70,line,FeatureLine,-3.846,-3.577,-3.362,-3.545,0.48505669771687515
71,line,FeatureLine,9.122,-4.57,10.24,-4.56,1.1180447218246687
72,line,FeatureLine,8.161,-4.546,8.322,-4.553,0.1611521020650983
73,line,FeatureLine,10.735,7.057,10.774,7.203,0.15111915828246247
74,line,FeatureLine,8.06,-4.319,8.139,-4.166,0.17219175357722474
75,line,FeatureLine,6.574,-4.006,6.711,-4.068,0.15037619492459586
76,line,FeatureLine,0.918,2.24,0.924,2.401,0.16111176245079026
77,line,FeatureLine,-2.078,-4.501,-1.928,-4.499,0.15001333274079334
78,line,FeatureLine,5.131,-4.497,5.274,-4.525,0.14571547618561306
79,line,FeatureLine,1.048,-1.583,0.995,-1.434,0.15814550262337532
80,line,FeatureLine,-1.862,-3.974,-1.797,-3.879,0.11510864433221364
81,line,FeatureLine,1.092,-2.092,0.976,-1.942,0.1896206739783404
82,line,FeatureLine,-0.318,6.089,-0.221,6.225,0.16704789732289296
83,line,FeatureLine,10.244,-4.609,10.274,-4.482,0.13049521064008404
84,line,FeatureLine,-9.755,-0.698,-9.28,-0.775,0.48120058187828635
86,line,FeatureLine,-0.469,-4.586,-0.357,-4.501,0.14060227594174993
87,line,FeatureLine,4.487,-4.385,4.625,-4.355,0.1412232275512776
88,line,FeatureLine,-11.917,-0.628,-11.991,-0.495,0.15220052562327102
89,line,FeatureLine,-9.265,3.52,-9.27,3.68,0.16007810593582134
90,line,FeatureLine,-10.879,-1.424,-10.721,-1.409,0.15871042813879568
91,line,FeatureLine,-10.563,-1.59,-10.645,-1.45,0.16224672569885615
92,line,FeatureLine,-8.569,-4.186,-8.001,-4.194,0.5680563352344569
93,line,FeatureLine,-10.034,-1.92,-10.057,-1.447,0.47355886645695894
94,line,FeatureLine,-22.826,-0.157,-22.834,0.158,0.3151015709259476
95,line,FeatureLine,-9.272,-0.756,-9.126,-0.794,0.15086417732516966
96,line,FeatureLine,6.563,-4.546,6.714,-4.562,0.1518453160291756
97,line,FeatureLine,-6.078,-4.377,-5.601,-4.367,0.4771048102880543
98,line,FeatureLine,-7.52,-4.181,-7.36,-4.198,0.1609005904277538
99,line,FeatureLine,-7.581,6.89,-7.538,7.035,0.15124152868838686
100,line,FeatureLine,10.272,-0.001,10.277,0.16,0.16107762104029222
101,line,FeatureLine,-7.04,-4.529,-6.88,-4.532,0.16002812252851073
102,line,FeatureLine,-11.896,-0.953,-11.918,-0.798,0.15655350523063963
103,line,FeatureLine,-4.811,-4.32,-4.942,-4.185,0.18811166896288023
104,line,FeatureLine,-12.585,0.882,-12.492,0.837,0.10331505214633538
105,line,FeatureLine,-10.065,-1.965,-9.929,-1.932,0.13994641831786836
106,line,FeatureLine,-0.127,6.56,-0.096,6.879,0.3205027300975765
107,line,FeatureLine,-22.636,1.603,-22.651,1.756,0.15373353570382756
108,line,FeatureLine,-22.581,1.445,-22.647,1.599,0.1675470083290055
109,line,FeatureLine,-12.58,1.449,-12.644,1.549,0.11872657663724656
110,line,FeatureLine,3.712,2.249,3.746,2.39,0.14504137340772802
111,line,FeatureLine,0.327,-4.252,0.483,-4.215,0.16032778923193566
112,line,FeatureLine,0.49,-4.212,0.614,-4.277,0.14000357138301883
113,line,FeatureLine,1.602,6.886,1.534,7.035,0.16378339354159205
114,line,FeatureLine,7.519,6.883,7.562,7.148,0.26846601274649246
115,line,FeatureLine,9.109,-4.604,9.046,-4.484,0.13553228397691858
116,line,FeatureLine,0.997,-4.496,1.118,-4.544,0.13017296186228516
117,line,FeatureLine,1.289,-4.267,1.418,-4.19,0.15023315213360863
118,line,FeatureLine,4.64,-3.524,4.799,-3.528,0.15905030650709298
119,line,FeatureLine,-9.413,-2.074,-9.424,-1.933,0.14142842712835324
120,line,FeatureLine,-11.679,1.238,-11.201,1.244,0.47803765542057436
121,line,FeatureLine,-11.926,0.001,-11.941,0.64,0.6391760320913168
122,line,FeatureLine,10.346,1.6,10.329,2.4,0.8001806046137332
123,line,FeatureLine,10.278,-1.28,10.28,-1.12,0.1600124995117568
124,line,FeatureLine,2.08,1.986,3.68,1.98,1.6000112499604495
125,line,FeatureLine,4.16,1.987,6.669,1.973,2.5090390590821814
126,line,FeatureLine,-22.837,0.404,-22.849,1.115,0.711101258612302
127,line,FeatureLine,5.44,7.141,6.879,7.124,1.4391004134527923
128,line,FeatureLine,-2.125,2.484,-2.172,2.54,0.0731095069057371
129,line,FeatureLine,-2.081,1.998,-1.919,2.003,0.16207714212682792
130,line,FeatureLine,4.962,-1.522,6.079,-1.494,1.117350884905901
131,line,FeatureLine,10.32,2.398,10.22,3.517,1.1234593895642153
132,line,FeatureLine,-7.2,6.673,-7.04,6.675,0.16001249951175703
133,line,FeatureLine,4.8,7.079,5.28,7.069,0.48010415536631257
134,line,FeatureLine,9.438,7.028,9.757,6.967,0.32477992548801315
135,line,FeatureLine,-9.265,3.36,-9.268,3.52,0.16002812252851073
136,line,FeatureLine,8.32,7.072,8.8,7.076,0.48001666637732526
137,line,FeatureLine,-7.617,6.401,-7.59,6.722,0.3221335126931074
138,line,FeatureLine,-11.341,2.738,-11.202,2.722,0.1399178330306749
139,line,FeatureLine,9.288,6.894,9.372,6.98,0.1202164714171897
140,line,FeatureLine,-6.4,7.119,-5.92,7.128,0.4800843675855322
141,line,FeatureLine,10.153,-3.36,10.155,-2.56,0.8000024999960936
142,line,FeatureLine,-12.601,-1.589,-12.528,-1.458,0.1499666629621399
